,tv_title,release_year,imdb_rating,genres,runtime,age_rating,production_country,streaming_on
24, The Devil's Hour ,(2022),7.6,"Mystery & Thriller, Crime, Drama",59min,,United Kingdom,Amazon Prime Video
25, Adam's Sweet Agony ,(2024),0.0,Animation,3min,,Japan,Anime Times Amazon Channel
26, Person of Interest ,(2011),8.5,"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",44min,U,United States,
27, The Great Indian Kapil Show ,(2024),6.9,Comedy,1h 0min,,India,Netflix
28, Shōgun ,(2024),8.6,"Drama, War & Military, History",59min,,United States,Hotstar
29, Murder in Mahim ,(2024),7.9,Crime,43min,,India,Jio Cinema
30, The Judge from Hell ,(2024),7.0,"Comedy, Drama, Science-Fiction, Crime, Fantasy, Horror, Romance",1h 5min,,South Korea,Hotstar
31, House of the Dragon ,(2022),8.3,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",1h 2min,A,United States,Jio Cinema
32, Gandii Baat ,(2018),3.0,"Drama, Crime, Mystery & Thriller",44min,A,India,Alt Balaji
33, Dragon Ball DAIMA ,(2024),8.0,"Animation, Action & Adventure, Comedy, Science-Fiction, Fantasy",24min,,Japan,Crunchyroll
34, The Lord of the Rings: The Rings of Power ,(2022),6.9,"Action & Adventure, Science-Fiction, Drama, Fantasy",1h 8min,,United States,Amazon Prime Video
